0,1,2,3,4,5,6,7,8,9,10,11,12,13
10,1531787977,1531801122,1531787977,1531787589,1531787977,1531801305,1531801122,1531787589,1531787589,1531787977,1531801305,1531787589,1531787589
50,1547018010,1547018010,1547017446,1547018010,1547014411,1547017446,1547017446,1547014411,1547014411,1547014411,1547014411,1547018010,1547018010
30,481389628,469978540,445941287,348489805,481900003,481385109,397457141,504903707,188864408,493855114,397457112,365098808,365098808
30,194106392,256882618,587631875,456099320,557537201,188862738,188862738,454771037,481208454,307998406,504905636,451087524,451087524
11,1547428994,1547428994,1547430644,1547431139,1547429909,1547429909,1547427506,1547429292,1547430147,1547431139,1547427506,1547428994,1547428994
70,1547192512,1547192512,1547193062,1547193062,1547192512,1547192512,1547192512,1547193062,1547192512,1547192512,1547192512,1547192512,1547192512
50,1547014411,1547018010,1547014411,1547014411,1547014411,1547017446,1547017446,1547018010,1547014411,1547018010,1547018010,1547017446,1547017446
80,1547195605,1547196877,1547196222,1547195605,1547196701,1547195869,1547195351,1547195605,1547195351,1547196222,1547195605,1547195605,1547195605
30,397457110,587617958,510163790,557154921,451084980,594381371,594381494,377359870,557537738,315393830,504844985,445940920,445940920
20,481388433,557539127,587631967,1543286640,437614824,1543286640,480614517,493855230,437495075,188862738,482725207,368671352,368671352
30,580821539,442093126,247722705,445938588,570639140,587631797,349010437,510163790,307998406,441576097,481210445,584188627,584188627
11,1547428994,1547427506,1547430147,1547429909,1547429909,1547429909,1547430644,1547427506,1547429909,1547431139,1547429909,1547429909,1547429909
80,1547196222,1547196222,1547195869,1547195605,1547196877,1547195869,1547195605,1547195351,1547196877,1547195351,1547196222,1547195605,1547195605
13,1547193891,1547193151,1547193891,1547193891,1547193151,1547193891,1547193891,1547193891,1547193891,1547193891,1547193891,1547193891,1547193891
40,1543284750,1543286062,1543286062,1543286718,1543286640,1543286718,1543286600,1543286117,1543286062,1543285418,1543284750,1543286117,1543286117
80,1547195869,1547196877,1547196701,1547196701,1547196877,1547195869,1547195351,1547196701,1547196701,1547196701,1547195869,1547196701,1547196701
80,1547195351,1547196877,1547195605,1547195351,1547196877,1547195351,1547196877,1547196701,1547195605,1547195351,1547196222,1547195605,1547195605
11,1547428994,1547431139,1547429292,1547429292,1547430147,1547429909,1547428994,1547427506,1547429909,1547428994,1547428994,1547429909,1547429909
30,256924814,442093764,315393408,445936283,557537073,188862738,519491217,442093441,307998406,452705644,557534813,384274798,384274798
20,315394920,445926060,445935366,442093038,256889658,566560535,445937224,188849460,587632031,584188386,590438212,481389784,481389784
70,1547192512,1547193062,1547192512,1547193062,1547192512,1547192512,1547192512,1547192512,1547192512,1547193062,1547192512,1547193062,1547193062
80,1547195351,1547196877,1547195869,1547195605,1547196222,1547196701,1547196701,1547195351,1547195869,1547196701,1547196701,1547195351,1547195351
11,1547429909,1547429292,1547429292,1547428994,1547431139,1547431139,1547430644,1547430644,1547429292,1547428994,1547431139,1547429292,1547429292
50,1547014411,1547017446,1547018010,1547018010,1547014411,1547018010,1547017446,1547014411,1547017446,1547014411,1547017446,1547017446,1547017446
40,1543286718,1543284750,1543286062,1543286640,1543286600,1543286640,1543286600,1543286640,1543286600,1543286600,1543286117,1543286718,1543286718
13,1547193891,1547193151,1547193151,1547193891,1547193891,1547193891,1547193151,1547193151,1547193891,1547193151,1547193151,1547193151,1547193151
30,384274798,504910785,377353302,442093842,481897660,365098903,445936283,307998406,397457110,557529720,561470571,481213642,481213642
40,1543286640,1543286062,1543286718,1543285418,1543286718,1543284750,1543286117,1543285418,1543286600,1543286600,1543286640,1543286600,1543286600
50,1547017446,1547017446,1547018010,1547014411,1547017446,1547017446,1547017446,1547017446,1547017446,1547018010,1547017446,1547017446,1547017446
30,377352821,519598756,590440071,445938280,188852428,307998406,307998406,228845491,247722066,445941316,307998406,315393183,315393183
11,1547427506,1547427506,1547427506,1547428994,1547427506,1547430644,1547430644,1547431139,1547428994,1547430147,1547427506,1547428994,1547428994
70,1547192512,1547192512,1547193062,1547193062,1547192512,1547193062,1547192512,1547193062,1547192512,1547192512,1547193062,1547192512,1547192512
70,1547193062,1547193062,1547193062,1547193062,1547192512,1547193062,1547193062,1547193062,1547193062,1547193062,1547193062,1547193062,1547193062
20,377354499,380234258,469978143,557533700,188862738,504912382,450179102,445934852,548679473,272101431,437497147,445940858,445940858
50,1547014411,1547017446,1547014411,1547018010,1547014411,1547017446,1547018010,1547014411,1547018010,1547014411,1547017446,1547014411,1547014411
13,1547193151,1547193151,1547193891,1547193151,1547193151,1547193891,1547193151,1547193891,1547193891,1547193891,1547193151,1547193891,1547193891
40,1543286062,1543286062,1543285418,1543286117,1543286640,1543286718,1543286600,1543285418,1543286718,1543286640,1543284750,1543286640,1543286640
70,1547193062,1547193062,1547192512,1547192512,1547193062,1547192512,1547193062,1547193062,1547192512,1547193062,1547193062,1547193062,1547193062
40,1543286600,1543284750,1543286117,1543285418,1543286117,1543285418,1543286600,1543286718,1543286600,1543286117,1543284750,1543286600,1543286600
30,481211727,450178911,504807317,587630992,557537370,188849700,377351070,557537073,307998406,437617207,188862738,504807925,504807925
20,590093205,469979120,584188131,324360699,481388875,413779384,557537073,460931821,1543286640,557537073,504900956,188857038,188857038
20,1543286640,315397075,290792161,557533573,557530727,278026203,256909504,481387509,557530413,445934370,510433669,1543286640,1543286640
40,1543286718,1543284750,1543286117,1543286600,1543285418,1543286718,1543286062,1543285418,1543286718,1543285418,1543286117,1543286600,1543286600
40,1543286117,1543286600,1543286062,1543285418,1543284750,1543285418,1543286718,1543286718,1543286718,1543286640,1543286600,1543285418,1543285418
70,1547192512,1547193062,1547192512,1547192512,1547192512,1547192512,1547193062,1547193062,1547192512,1547193062,1547193062,1547193062,1547193062
50,1547017446,1547014411,1547014411,1547018010,1547014411,1547014411,1547018010,1547018010,1547018010,1547018010,1547017446,1547014411,1547014411
50,1547014411,1547018010,1547014411,1547017446,1547018010,1547018010,1547018010,1547018010,1547018010,1547017446,1547018010,1547014411,1547014411
40,1543286117,1543286600,1543286718,1543286640,1543284750,1543286600,1543286600,1543286062,1543284750,1543285418,1543284750,1543285418,1543285418
10,1531801305,1531787977,1531801122,1531801122,1531787589,1531801122,1531801305,1531801305,1531801305,1531787589,1531801122,1531801305,1531801305
10,1531787977,1531801305,1531787977,1531801305,1531787589,1531801305,1531787977,1531787977,1531801305,1531787977,1531801122,1531801122,1531801122
70,1547192512,1547193062,1547192512,1547192512,1547192512,1547192512,1547192512,1547192512,1547193062,1547192512,1547193062,1547193062,1547193062
50,1547017446,1547018010,1547014411,1547018010,1547018010,1547018010,1547014411,1547017446,1547014411,1547017446,1547018010,1547017446,1547017446
40,1543286718,1543286718,1543286117,1543285418,1543286062,1543286718,1543286640,1543286718,1543286718,1543286600,1543286117,1543286600,1543286600
10,1531801122,1531787589,1531801122,1531787977,1531801305,1531801122,1531787589,1531787977,1531801305,1531801305,1531787977,1531787589,1531787589
13,1547193891,1547193891,1547193891,1547193151,1547193151,1547193891,1547193151,1547193891,1547193151,1547193891,1547193891,1547193151,1547193151
80,1547195869,1547196701,1547195351,1547195351,1547196877,1547195869,1547195605,1547196877,1547195605,1547195869,1547196222,1547195605,1547195605
10,1531801122,1531801305,1531787977,1531787589,1531801305,1531787977,1531801122,1531801305,1531787977,1531801305,1531801305,1531787977,1531787977
10,1531787589,1531801122,1531801122,1531801122,1531801305,1531787977,1531787589,1531787589,1531787589,1531787589,1531787589,1531801305,1531801305
20,413821121,504793898,510434415,450179110,469978570,594201269,441575281,445934370,504900956,587632062,365731711,548679473,548679473
30,126535623,456099376,590440071,307998406,557537073,397457139,580807562,384274798,188862738,445940998,384274798,377353114,377353114
80,1547195869,1547196877,1547195605,1547195605,1547196222,1547196701,1547196877,1547196877,1547195869,1547196877,1547196877,1547195605,1547195605
10,1531787977,1531801122,1531787977,1531787977,1531801305,1531801122,1531787589,1531801122,1531801305,1531801305,1531787589,1531787589,1531787589
20,481388029,377354909,377316373,460931788,584299940,481387974,1543286640,584187818,469977767,527090196,324368599,443350791,443350791
11,1547430644,1547430644,1547427506,1547427506,1547428994,1547430644,1547430147,1547428994,1547427506,1547428994,1547431139,1547428994,1547428994
50,1547014411,1547018010,1547014411,1547018010,1547014411,1547014411,1547018010,1547014411,1547014411,1547018010,1547017446,1547017446,1547017446
10,1531787977,1531787977,1531787977,1531787589,1531787589,1531801305,1531801305,1531787977,1531787977,1531787977,1531801122,1531801122,1531801122
20,510508658,557537073,557534753,377316373,445936054,548679473,445929715,590439852,188862738,481209639,557537073,332620489,332620489
50,1547018010,1547017446,1547014411,1547018010,1547014411,1547014411,1547018010,1547017446,1547014411,1547014411,1547014411,1547017446,1547017446
70,1547193062,1547192512,1547192512,1547193062,1547192512,1547192512,1547193062,1547193062,1547192512,1547192512,1547192512,1547192512,1547192512
80,1547196222,1547196877,1547195869,1547195351,1547195351,1547195605,1547195351,1547196222,1547196877,1547195605,1547195869,1547196701,1547196701
50,1547017446,1547014411,1547014411,1547014411,1547014411,1547017446,1547014411,1547014411,1547018010,1547017446,1547014411,1547018010,1547018010
11,1547430147,1547430644,1547429909,1547429292,1547430147,1547428994,1547427506,1547429909,1547430644,1547429292,1547429909,1547429909,1547429909
10,1531801122,1531787589,1531787589,1531787977,1531801305,1531801305,1531801305,1531801305,1531801305,1531801122,1531787589,1531787589,1531787589
11,1547428994,1547428994,1547430147,1547430147,1547430147,1547428994,1547428994,1547429292,1547429909,1547430644,1547431139,1547430147,1547430147
80,1547196701,1547195605,1547196701,1547195869,1547196877,1547196701,1547195605,1547196222,1547196701,1547196877,1547195869,1547196222,1547196222
40,1543286117,1543285418,1543286718,1543286117,1543286117,1543286117,1543284750,1543286117,1543284750,1543286640,1543286600,1543286718,1543286718
13,1547193891,1547193891,1547193891,1547193151,1547193151,1547193891,1547193151,1547193891,1547193891,1547193891,1547193151,1547193151,1547193151
11,1547429909,1547430644,1547430147,1547430644,1547428994,1547431139,1547429292,1547431139,1547431139,1547430644,1547427506,1547430644,1547430644
30,594381089,504797716,437495533,557534813,383082305,445940040,442093255,397457108,384274798,557528512,377353876,469326359,469326359
70,1547192512,1547193062,1547192512,1547192512,1547192512,1547192512,1547193062,1547192512,1547192512,1547192512,1547192512,1547193062,1547193062
80,1547195605,1547196701,1547196701,1547196877,1547195351,1547195869,1547195351,1547196701,1547196701,1547195605,1547196222,1547196701,1547196701
80,1547196222,1547196701,1547196877,1547196222,1547195351,1547196877,1547195351,1547195605,1547196877,1547196222,1547195605,1547195351,1547195351
10,1531787977,1531787589,1531787977,1531787589,1531801122,1531787977,1531787977,1531787589,1531801122,1531801122,1531801122,1531801305,1531801305
13,1547193151,1547193891,1547193891,1547193891,1547193891,1547193151,1547193891,1547193151,1547193151,1547193891,1547193891,1547193151,1547193151
20,443624361,519598479,187681442,481389775,482725181,247721961,482725333,481383951,442093975,557537073,442595819,1547178448,1547178448
80,1547195351,1547196701,1547196877,1547195351,1547196222,1547195869,1547195351,1547196222,1547195605,1547195869,1547196877,1547195605,1547195605
11,1547430147,1547429909,1547428994,1547428994,1547429909,1547430644,1547430147,1547429292,1547427506,1547431139,1547430644,1547430644,1547430644
50,1547017446,1547017446,1547017446,1547017446,1547017446,1547018010,1547017446,1547017446,1547017446,1547017446,1547017446,1547014411,1547014411
13,1547193151,1547193891,1547193151,1547193891,1547193151,1547193151,1547193891,1547193151,1547193151,1547193891,1547193891,1547193151,1547193151
40,1543285418,1543286062,1543286062,1543286640,1543286600,1543286062,1543286640,1543285418,1543286640,1543286640,1543285418,1543286600,1543286600
10,1531801305,1531801122,1531801305,1531787589,1531787977,1531787589,1531801122,1531801305,1531801122,1531787977,1531801122,1531787589,1531787589
11,1547429909,1547429909,1547429909,1547428994,1547429909,1547429292,1547430644,1547430644,1547430147,1547430644,1547430147,1547430644,1547430644
10,1531801305,1531787589,1531787589,1531787977,1531801305,1531801305,1531801305,1531787977,1531787977,1531787589,1531787589,1531787589,1531787589
10,1531787977,1531801305,1531801122,1531787977,1531787977,1531801305,1531787589,1531787977,1531787977,1531787977,1531787977,1531801122,1531801122
11,1547429909,1547427506,1547429909,1547430644,1547430147,1547427506,1547431139,1547429909,1547431139,1547427506,1547430147,1547428994,1547428994
50,1547018010,1547018010,1547014411,1547014411,1547018010,1547017446,1547017446,1547014411,1547014411,1547017446,1547017446,1547014411,1547014411
40,1543286718,1543284750,1543285418,1543285418,1543286117,1543286718,1543286718,1543284750,1543286640,1543286062,1543286117,1543286117,1543286117
30,445940982,522067685,504910258,126536372,445941449,557536314,514693049,450178945,470981561,384274798,504797716,557537256,557537256
50,1547018010,1547017446,1547018010,1547014411,1547018010,1547018010,1547018010,1547017446,1547018010,1547017446,1547018010,1547018010,1547018010
50,1547018010,1547014411,1547014411,1547018010,1547018010,1547017446,1547018010,1547017446,1547018010,1547014411,1547017446,1547014411,1547014411
10,1531801122,1531787977,1531787977,1531801305,1531801305,1531787977,1531787977,1531801305,1531787977,1531787589,1531787589,1531801305,1531801305
50,1547014411,1547017446,1547018010,1547017446,1547018010,1547017446,1547017446,1547017446,1547014411,1547014411,1547017446,1547014411,1547014411
11,1547429909,1547430644,1547430147,1547431139,1547429292,1547430644,1547431139,1547429909,1547430644,1547430147,1547430644,1547429909,1547429909
11,1547431139,1547427506,1547429292,1547430644,1547430644,1547429909,1547429292,1547431139,1547429292,1547429292,1547429292,1547430644,1547430644
50,1547014411,1547018010,1547017446,1547014411,1547017446,1547017446,1547017446,1547017446,1547018010,1547014411,1547018010,1547017446,1547017446
11,1547430147,1547428994,1547427506,1547430644,1547428994,1547427506,1547430147,1547429909,1547430147,1547430644,1547430644,1547431139,1547431139
30,557537073,451087500,481213642,504804140,445937704,437492327,557154921,445940920,557529720,456099520,451085097,481897660,481897660
10,1531787589,1531787589,1531787977,1531787589,1531787589,1531787977,1531787977,1531801305,1531801305,1531801122,1531801305,1531787589,1531787589
11,1547429909,1547429292,1547430644,1547430147,1547429909,1547430644,1547430644,1547430147,1547428994,1547429909,1547430147,1547430147,1547430147
40,1543284750,1543285418,1543284750,1543286640,1543285418,1543286062,1543284750,1543284750,1543286062,1543284750,1543286600,1543286117,1543286117
11,1547431139,1547430644,1547429292,1547429292,1547430147,1547429292,1547428994,1547429292,1547428994,1547431139,1547430147,1547429292,1547429292
40,1543286117,1543286062,1543286117,1543286062,1543285418,1543286718,1543286640,1543284750,1543286640,1543286600,1543286600,1543286117,1543286117
50,1547014411,1547018010,1547014411,1547014411,1547017446,1547017446,1547017446,1547014411,1547014411,1547018010,1547014411,1547014411,1547014411
10,1531787589,1531787589,1531801122,1531801122,1531801305,1531801122,1531787589,1531801305,1531787977,1531787589,1531787589,1531801122,1531801122
30,456099376,527089999,481209937,557537073,557537662,481389598,377353231,307998406,451087514,315392630,590440071,454770862,454770862
50,1547018010,1547014411,1547014411,1547014411,1547014411,1547014411,1547014411,1547017446,1547017446,1547018010,1547017446,1547018010,1547018010
30,188862738,349009510,504905636,587617958,557537073,445940038,437498609,188862738,557537256,451085097,437496042,437494313,437494313
50,1547014411,1547017446,1547018010,1547018010,1547014411,1547014411,1547018010,1547018010,1547018010,1547014411,1547014411,1547014411,1547014411
80,1547196701,1547195605,1547195869,1547195351,1547196877,1547196877,1547195605,1547196877,1547195351,1547195869,1547195605,1547195605,1547195605
20,481389782,442359102,480614517,493683529,594380719,256882753,584299978,488879190,378422657,437495075,457628592,504899715,504899715
50,1547018010,1547014411,1547014411,1547017446,1547018010,1547014411,1547014411,1547014411,1547017446,1547018010,1547017446,1547018010,1547018010
30,587631011,594381011,504807925,315393434,384274798,445936283,514692884,307998406,445940038,519855689,384274798,445941316,445941316
13,1547193891,1547193151,1547193151,1547193151,1547193891,1547193151,1547193151,1547193891,1547193151,1547193151,1547193151,1547193891,1547193891
11,1547429909,1547430644,1547429909,1547430644,1547429909,1547429909,1547429909,1547427506,1547431139,1547429292,1547430147,1547430147,1547430147
11,1547428994,1547429909,1547431139,1547431139,1547430644,1547430147,1547430644,1547427506,1547427506,1547427506,1547431139,1547430644,1547430644
