1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th
1531787977,1531801122,1531787977,1531787589,1531787977,1531801305,1531801122,1531787589,1531787589,1531787977,1531801305,1531787589,1531787589
1547018010,1547018010,1547017446,1547018010,1547014411,1547017446,1547017446,1547014411,1547014411,1547014411,1547014411,1547018010,1547018010
481389628,469978540,445941287,348489805,481900003,481385109,397457141,504903707,188864408,493855114,397457112,365098808,365098808
194106392,256882618,587631875,456099320,557537201,188862738,188862738,454771037,481208454,307998406,504905636,451087524,451087524
1547428994,1547428994,1547430644,1547431139,1547429909,1547429909,1547427506,1547429292,1547430147,1547431139,1547427506,1547428994,1547428994
1547192512,1547192512,1547193062,1547193062,1547192512,1547192512,1547192512,1547193062,1547192512,1547192512,1547192512,1547192512,1547192512
1547014411,1547018010,1547014411,1547014411,1547014411,1547017446,1547017446,1547018010,1547014411,1547018010,1547018010,1547017446,1547017446
1547195605,1547196877,1547196222,1547195605,1547196701,1547195869,1547195351,1547195605,1547195351,1547196222,1547195605,1547195605,1547195605
397457110,587617958,510163790,557154921,451084980,594381371,594381494,377359870,557537738,315393830,504844985,445940920,445940920
481388433,557539127,587631967,1543286640,437614824,1543286640,480614517,493855230,437495075,188862738,482725207,368671352,368671352
580821539,442093126,247722705,445938588,570639140,587631797,349010437,510163790,307998406,441576097,481210445,584188627,584188627
1547428994,1547427506,1547430147,1547429909,1547429909,1547429909,1547430644,1547427506,1547429909,1547431139,1547429909,1547429909,1547429909
1547196222,1547196222,1547195869,1547195605,1547196877,1547195869,1547195605,1547195351,1547196877,1547195351,1547196222,1547195605,1547195605
1547193891,1547193151,1547193891,1547193891,1547193151,1547193891,1547193891,1547193891,1547193891,1547193891,1547193891,1547193891,1547193891
1543284750,1543286062,1543286062,1543286718,1543286640,1543286718,1543286600,1543286117,1543286062,1543285418,1543284750,1543286117,1543286117
1547195869,1547196877,1547196701,1547196701,1547196877,1547195869,1547195351,1547196701,1547196701,1547196701,1547195869,1547196701,1547196701
1547195351,1547196877,1547195605,1547195351,1547196877,1547195351,1547196877,1547196701,1547195605,1547195351,1547196222,1547195605,1547195605
1547428994,1547431139,1547429292,1547429292,1547430147,1547429909,1547428994,1547427506,1547429909,1547428994,1547428994,1547429909,1547429909
256924814,442093764,315393408,445936283,557537073,188862738,519491217,442093441,307998406,452705644,557534813,384274798,384274798
