,0,1,2,3,4,5,6,7,8,9,10,11,12,13
126.14.177.153,10.0,1531787977.0,1531801122.0,1531787977.0,1531787589.0,1531787977.0,1531801305.0,1531801122.0,1531787589.0,1531787589.0,1531787977.0,1531801305.0,1531787589.0,1531787589.0
171.15.67.113,50.0,1547018010.0,1547018010.0,1547017446.0,1547018010.0,1547014411.0,1547017446.0,1547017446.0,1547014411.0,1547014411.0,1547014411.0,1547014411.0,1547018010.0,1547018010.0
93.14.188.153,30.0,481389628.0,469978540.0,445941287.0,348489805.0,481900003.0,481385109.0,397457141.0,504903707.0,188864408.0,493855114.0,397457112.0,365098808.0,365098808.0
81.132.153.16,30.0,194106392.0,256882618.0,587631875.0,456099320.0,557537201.0,188862738.0,188862738.0,454771037.0,481208454.0,307998406.0,504905636.0,451087524.0,451087524.0
67.91.33.53,11.0,1547428994.0,1547428994.0,1547430644.0,1547431139.0,1547429909.0,1547429909.0,1547427506.0,1547429292.0,1547430147.0,1547431139.0,1547427506.0,1547428994.0,1547428994.0
190.228.111.194,70.0,1547192512.0,1547192512.0,1547193062.0,1547193062.0,1547192512.0,1547192512.0,1547192512.0,1547193062.0,1547192512.0,1547192512.0,1547192512.0,1547192512.0,1547192512.0
89.14.85.7,50.0,1547014411.0,1547018010.0,1547014411.0,1547014411.0,1547014411.0,1547017446.0,1547017446.0,1547018010.0,1547014411.0,1547018010.0,1547018010.0,1547017446.0,1547017446.0
243.43.153.46,80.0,1547195605.0,1547196877.0,1547196222.0,1547195605.0,1547196701.0,1547195869.0,1547195351.0,1547195605.0,1547195351.0,1547196222.0,1547195605.0,1547195605.0,1547195605.0
197.198.238.56,30.0,397457110.0,587617958.0,510163790.0,557154921.0,451084980.0,594381371.0,594381494.0,377359870.0,557537738.0,315393830.0,504844985.0,445940920.0,445940920.0
12.49.240.44,20.0,481388433.0,557539127.0,587631967.0,1543286640.0,437614824.0,1543286640.0,480614517.0,493855230.0,437495075.0,188862738.0,482725207.0,368671352.0,368671352.0
23.8.205.97,30.0,580821539.0,442093126.0,247722705.0,445938588.0,570639140.0,587631797.0,349010437.0,510163790.0,307998406.0,441576097.0,481210445.0,584188627.0,584188627.0
14.18.168.39,11.0,1547428994.0,1547427506.0,1547430147.0,1547429909.0,1547429909.0,1547429909.0,1547430644.0,1547427506.0,1547429909.0,1547431139.0,1547429909.0,1547429909.0,1547429909.0
176.50.8.247,80.0,1547196222.0,1547196222.0,1547195869.0,1547195605.0,1547196877.0,1547195869.0,1547195605.0,1547195351.0,1547196877.0,1547195351.0,1547196222.0,1547195605.0,1547195605.0
136.107.181.163,13.0,1547193891.0,1547193151.0,1547193891.0,1547193891.0,1547193151.0,1547193891.0,1547193891.0,1547193891.0,1547193891.0,1547193891.0,1547193891.0,1547193891.0,1547193891.0
131.228.174.222,40.0,1543284750.0,1543286062.0,1543286062.0,1543286718.0,1543286640.0,1543286718.0,1543286600.0,1543286117.0,1543286062.0,1543285418.0,1543284750.0,1543286117.0,1543286117.0
144.121.154.168,80.0,1547195869.0,1547196877.0,1547196701.0,1547196701.0,1547196877.0,1547195869.0,1547195351.0,1547196701.0,1547196701.0,1547196701.0,1547195869.0,1547196701.0,1547196701.0
250.119.12.161,80.0,1547195351.0,1547196877.0,1547195605.0,1547195351.0,1547196877.0,1547195351.0,1547196877.0,1547196701.0,1547195605.0,1547195351.0,1547196222.0,1547195605.0,1547195605.0
113.249.44.112,11.0,1547428994.0,1547431139.0,1547429292.0,1547429292.0,1547430147.0,1547429909.0,1547428994.0,1547427506.0,1547429909.0,1547428994.0,1547428994.0,1547429909.0,1547429909.0
64.113.173.16,30.0,256924814.0,442093764.0,315393408.0,445936283.0,557537073.0,188862738.0,519491217.0,442093441.0,307998406.0,452705644.0,557534813.0,384274798.0,384274798.0
151.92.115.165,20.0,315394920.0,445926060.0,445935366.0,442093038.0,256889658.0,566560535.0,445937224.0,188849460.0,587632031.0,584188386.0,590438212.0,481389784.0,481389784.0
55.244.103.55,70.0,1547192512.0,1547193062.0,1547192512.0,1547193062.0,1547192512.0,1547192512.0,1547192512.0,1547192512.0,1547192512.0,1547193062.0,1547192512.0,1547193062.0,1547193062.0
103.10.170.62,80.0,1547195351.0,1547196877.0,1547195869.0,1547195605.0,1547196222.0,1547196701.0,1547196701.0,1547195351.0,1547195869.0,1547196701.0,1547196701.0,1547195351.0,1547195351.0
203.95.2.4,11.0,1547429909.0,1547429292.0,1547429292.0,1547428994.0,1547431139.0,1547431139.0,1547430644.0,1547430644.0,1547429292.0,1547428994.0,1547431139.0,1547429292.0,1547429292.0
128.223.237.224,50.0,1547014411.0,1547017446.0,1547018010.0,1547018010.0,1547014411.0,1547018010.0,1547017446.0,1547014411.0,1547017446.0,1547014411.0,1547017446.0,1547017446.0,1547017446.0
252.196.238.172,40.0,1543286718.0,1543284750.0,1543286062.0,1543286640.0,1543286600.0,1543286640.0,1543286600.0,1543286640.0,1543286600.0,1543286600.0,1543286117.0,1543286718.0,1543286718.0
