iter	RMSE
0	9.174522267
1	9.087707442
2	8.997289873
3	8.897208314
4	8.821941625
5	8.744322848
6	8.675298942
7	8.594926362
8	8.495775346
9	8.402677676
10	8.321653176
11	8.25531388
12	8.19581078
13	8.107228242
14	8.034767354
15	7.963630154
16	7.880396723
17	7.815162259
18	7.745818145
19	7.68718481
20	7.632535336
21	7.569839866
22	7.494598765
23	7.42964131
24	7.365936709
25	7.317954268
26	7.258920411
27	7.210267885
28	7.147880147
29	7.10811296
30	7.045656582
31	6.999272577
32	6.93619039
33	6.906305188
34	6.863656252
35	6.808430963
36	6.762283728
37	6.729221034
38	6.669791224
39	6.622930615
40	6.576849659
41	6.539552582
42	6.493465295
43	6.446592332
44	6.403725737
45	6.365440199
46	6.331691137
47	6.293517505
48	6.23287933
49	6.200288379
50	6.153944166
51	6.121349812
52	6.080118464
53	6.044671883
54	6.005234365
55	5.975027798
56	5.939639081
57	5.903728119
58	5.866319917
59	5.836791261
60	5.799284141
61	5.770968715
62	5.733115752
63	5.695293919
64	5.665240697
65	5.633131449
66	5.606637488
67	5.574101005
68	5.542957331
69	5.508969789
70	5.471791767
71	5.445998688
72	5.42323911
73	5.394308753
74	5.355994878
75	5.312561611
76	5.285118206
77	5.251877176
78	5.207216464
79	5.173099332
80	5.14242632
81	5.118980506
82	5.098589772
83	5.080201554
84	5.044209727
85	5.011260625
86	4.977173538
87	4.93621743
88	4.915720976
89	4.903523881
90	4.885229028
91	4.867099713
92	4.839438385
93	4.819419687
94	4.780097377
95	4.758502386
96	4.737942582
97	4.703869976
98	4.678445856
99	4.662159606
100	4.635960583
101	4.613497759
102	4.593666937
103	4.567919975
104	4.548571515
105	4.526992012
106	4.505691264
107	4.47175654
108	4.443036404
109	4.427906274
110	4.411641411
111	4.39347875
112	4.375005771
113	4.363326185
114	4.350059377
115	4.321489571
116	4.292669156
117	4.270343852
118	4.242631388
119	4.228385142
120	4.206259426
121	4.183699785
122	4.172966424
123	4.155257964
124	4.132290182
125	4.111520259
126	4.092999106
127	4.072894671
128	4.046840047
129	4.01971275
130	3.998989415
131	3.983164775
132	3.974271798
133	3.961894371
134	3.944475664
135	3.921325088
136	3.896708284
137	3.882570342
138	3.86701005
139	3.839811722
140	3.822447385
141	3.800613935
142	3.772526753
143	3.75417788
144	3.734817117
145	3.713495335
146	3.689235068
147	3.671095375
148	3.649866543
149	3.622670289
150	3.606617823
151	3.589774647
152	3.569910039
153	3.552506103
154	3.532238417
155	3.511324692
156	3.497168527
157	3.486928497
158	3.465866536
159	3.445848047
160	3.433036944
161	3.42023119
162	3.407884904
163	3.396920454
164	3.376605652
165	3.362711982
166	3.346055504
167	3.332436923
168	3.321299211
169	3.304525021
170	3.287709503
171	3.272884107
172	3.251476141
173	3.23814696
174	3.227060123
175	3.218562218
176	3.207816691
177	3.199424405
178	3.190546903
179	3.184205701
180	3.172850774
181	3.154588704
182	3.136635119
183	3.112870533
184	3.097430717
185	3.09207052
186	3.078157379
187	3.059484256
188	3.042829214
189	3.029365587
190	3.02528626
191	3.013329973
192	2.997167465
193	2.985172955
194	2.970354921
195	2.958704041
196	2.950372286
197	2.94042521
198	2.931478642
199	2.913273183
200	2.89848185
201	2.881969619
202	2.86636343
203	2.856938082
204	2.847548687
205	2.834294598
206	2.818689663
207	2.802641553
208	2.796004861
209	2.783810588
210	2.771662974
211	2.763045908
212	2.754369068
213	2.746645743
214	2.738214225
215	2.730916717
216	2.718478755
217	2.707395377
218	2.697296251
219	2.679888419
220	2.667198776
221	2.656273887
222	2.641687173
223	2.635113793
224	2.620100632
225	2.613491165
226	2.601048767
227	2.586871506
228	2.574687418
229	2.555863789
230	2.549582496
231	2.539921416
232	2.526091518
233	2.520555812
234	2.514423082
235	2.50612383
236	2.499704887
237	2.493353899
238	2.486117731
239	2.476030476
240	2.467301679
241	2.457300057
242	2.451306572
243	2.44262587
244	2.432290107
245	2.423674567
246	2.413562487
247	2.406907894
248	2.399899977
249	2.397187685
250	2.391495621
251	2.38283656
252	2.377824044
253	2.369462452
254	2.36241647
255	2.355750629
256	2.349527602
257	2.343950733
258	2.338952693
259	2.33376136
260	2.328260506
261	2.32089029
262	2.309955358
263	2.30036318
264	2.290113219
265	2.28144528
266	2.275005186
267	2.268649911
268	2.26097062
269	2.252534247
270	2.245322943
271	2.240492714
272	2.233462569
273	2.232101689
274	2.22580629
275	2.219303028
276	2.21065772
277	2.201812619
278	2.19690598
279	2.190166497
280	2.183462041
281	2.172260794
282	2.16424702
283	2.156414369
284	2.151947089
285	2.144531765
286	2.141104768
287	2.134891309
288	2.122179576
289	2.110760867
290	2.106199235
291	2.097400273
292	2.087773351
293	2.086599961
294	2.076928432
295	2.072471337
296	2.061861363
297	2.052841937
298	2.046416343
299	2.037955277
300	2.031080576
301	2.026183709
302	2.025083027
303	2.018161359
304	2.013337547
305	2.011753335
306	2.003244544
307	1.998853951
308	1.998006103
309	1.993294433
310	1.990768926
311	1.987025306
312	1.978100857
313	1.977230035
314	1.97395516
315	1.971573994
316	1.967710292
317	1.966001753
318	1.959039896
319	1.947119666
320	1.937082787
321	1.928200646
322	1.919274711
323	1.916571687
324	1.906192381
325	1.899745353
326	1.888997601
327	1.881189723
328	1.870072407
329	1.867558965
330	1.865503773
331	1.857134615
332	1.850358508
333	1.848272994
334	1.839294443
335	1.832873434
336	1.830112206
337	1.829423481
338	1.826825409
339	1.818112322
340	1.815532315
