iter	Passed	Remaining
0	0	481
1	0	402
2	1	361
3	1	308
4	1	303
5	1	307
6	2	333
7	2	326
8	2	314
9	3	313
10	3	307
11	3	302
12	3	298
13	4	294
14	4	291
15	4	288
16	4	285
17	5	283
18	5	280
19	5	278
20	5	276
21	6	276
22	6	277
23	6	279
24	7	278
25	7	276
26	7	273
27	7	272
28	8	271
29	8	269
30	8	268
31	8	267
32	9	266
33	9	266
34	9	265
35	9	264
36	10	263
37	10	263
38	10	261
39	10	260
40	11	259
41	11	260
42	11	260
43	11	260
44	12	259
45	12	259
46	12	257
47	12	257
48	13	257
49	13	256
50	13	256
51	14	255
52	14	253
53	14	253
54	14	252
55	14	252
56	15	252
57	15	251
58	15	251
59	16	250
60	16	250
61	16	249
62	16	249
63	16	248
64	17	247
65	17	247
66	17	246
67	17	244
68	18	244
69	18	244
70	18	243
71	18	243
72	19	242
73	19	242
74	19	242
75	19	241
76	20	241
77	20	240
78	20	240
79	20	240
80	21	239
81	21	239
82	21	238
83	21	238
84	22	238
85	22	238
86	22	238
87	22	237
88	23	237
89	23	236
90	23	235
91	23	235
92	24	235
93	24	234
94	24	234
95	24	234
96	25	233
97	25	233
98	25	233
99	25	232
100	26	232
101	26	232
102	26	231
103	26	231
104	27	231
105	27	230
106	27	230
107	27	230
108	28	230
109	28	230
110	28	229
111	28	228
112	29	228
113	29	228
114	29	228
115	29	227
116	30	227
117	30	227
118	30	227
119	30	227
120	31	226
121	31	226
122	31	226
123	32	226
124	32	225
125	32	225
126	32	225
127	33	225
128	33	225
129	33	224
130	33	224
131	34	224
132	34	224
133	34	224
134	34	223
135	35	223
136	35	223
137	35	223
138	36	223
139	36	222
140	36	222
141	36	222
142	37	222
143	37	222
144	37	221
145	37	221
146	38	221
147	38	221
148	38	220
149	38	220
150	39	220
151	39	219
152	39	220
153	40	219
154	40	219
155	40	219
156	40	219
157	41	218
158	41	218
159	41	218
160	41	218
161	42	218
162	42	217
163	42	217
164	42	217
165	43	217
166	43	216
167	43	216
168	43	216
169	44	216
170	44	215
171	44	215
172	45	215
173	45	215
174	45	214
175	45	214
176	46	214
177	46	214
178	46	213
179	46	213
180	47	213
181	47	213
182	47	212
183	47	212
184	48	212
185	48	212
186	48	211
187	48	211
188	49	211
189	49	211
190	49	210
191	49	210
192	50	209
193	50	209
194	50	209
195	51	209
196	51	209
197	51	208
198	51	208
199	52	208
200	52	208
201	52	207
202	52	207
203	53	207
204	53	207
205	53	206
206	53	206
207	54	206
208	54	206
209	54	205
210	54	205
211	55	205
212	55	205
213	55	204
214	56	204
215	56	204
216	56	203
217	56	203
218	57	203
219	57	203
220	57	202
221	57	202
222	58	202
223	58	202
224	58	201
225	58	201
226	59	201
227	59	201
228	59	200
229	59	200
230	60	200
231	60	200
232	60	199
233	61	199
234	61	199
235	61	199
236	61	199
237	62	198
238	62	198
239	62	198
240	62	197
241	63	197
242	63	197
243	63	197
244	63	197
245	64	196
246	64	196
247	64	196
248	64	196
249	65	195
250	65	195
251	65	195
252	66	194
253	66	194
254	66	194
255	66	194
256	67	194
257	67	193
258	67	193
259	67	193
260	68	192
261	68	192
262	68	192
263	68	192
264	69	191
265	69	191
266	69	191
267	70	191
268	70	190
269	70	190
270	70	190
271	71	190
272	71	189
273	71	189
274	71	189
275	72	189
276	72	188
277	72	188
278	72	188
279	73	188
280	73	187
281	73	187
282	73	187
283	74	187
284	74	186
285	74	186
286	75	186
287	75	186
288	75	185
289	75	185
290	76	185
291	76	185
292	76	184
293	76	184
294	77	184
295	77	184
296	77	183
297	77	183
298	78	183
299	78	182
300	78	182
301	78	182
302	79	182
303	79	181
304	79	181
305	79	181
306	80	181
307	80	180
308	80	180
309	81	180
310	81	180
311	81	179
