rent_date,rent_station,rent_number,year,month,day,day_name
2020-11-01,EVS_000213,1,2020,11,1,Sunday
2020-11-01,EVS_000278,1,2020,11,1,Sunday
2020-11-01,EVS_000190,2,2020,11,1,Sunday
2020-11-01,EVS_000219,4,2020,11,1,Sunday
2020-11-01,EVS_000137,2,2020,11,1,Sunday
2020-11-01,EVS_000191,1,2020,11,1,Sunday
2020-11-01,EVS_000115,2,2020,11,1,Sunday
2020-11-01,EVS_000167,2,2020,11,1,Sunday
2020-11-01,EVS_000113,3,2020,11,1,Sunday
2020-11-01,EVS_000110,1,2020,11,1,Sunday
2020-11-01,EVS_000097,5,2020,11,1,Sunday
2020-11-01,EVS_000288,5,2020,11,1,Sunday
2020-11-01,EVS_000119,4,2020,11,1,Sunday
2020-11-01,EVS_000118,3,2020,11,1,Sunday
2020-11-01,EVS_000037,2,2020,11,1,Sunday
2020-11-01,EVS_000127,1,2020,11,1,Sunday
2020-11-01,EVS_000265,2,2020,11,1,Sunday
2020-11-01,EVS_000112,1,2020,11,1,Sunday
2020-11-01,EVS_000217,1,2020,11,1,Sunday
2020-11-01,EVS_000132,3,2020,11,1,Sunday
2020-11-01,EVS_000152,2,2020,11,1,Sunday
2020-11-01,EVS_000227,1,2020,11,1,Sunday
2020-11-01,EVS_000276,6,2020,11,1,Sunday
2020-11-02,EVS_000132,4,2020,11,2,Monday
2020-11-02,EVS_000137,1,2020,11,2,Monday
2020-11-02,EVS_000167,7,2020,11,2,Monday
2020-11-02,EVS_000219,2,2020,11,2,Monday
2020-11-02,EVS_000037,1,2020,11,2,Monday
2020-11-02,EVS_000215,2,2020,11,2,Monday
2020-11-02,EVS_000191,2,2020,11,2,Monday
2020-11-02,EVS_000118,2,2020,11,2,Monday
2020-11-02,EVS_000213,1,2020,11,2,Monday
2020-11-02,EVS_000190,3,2020,11,2,Monday
2020-11-02,EVS_000188,1,2020,11,2,Monday
2020-11-02,EVS_000110,1,2020,11,2,Monday
2020-11-02,EVS_000135,1,2020,11,2,Monday
2020-11-03,EVS_000115,2,2020,11,3,Tuesday
2020-11-03,EVS_000262,1,2020,11,3,Tuesday
2020-11-03,EVS_000213,1,2020,11,3,Tuesday
2020-11-03,EVS_000112,1,2020,11,3,Tuesday
2020-11-03,EVS_000139,1,2020,11,3,Tuesday
2020-11-03,EVS_000188,3,2020,11,3,Tuesday
2020-11-03,EVS_000231,1,2020,11,3,Tuesday
2020-11-03,EVS_000167,1,2020,11,3,Tuesday
2020-11-03,EVS_000037,1,2020,11,3,Tuesday
2020-11-03,EVS_000255,2,2020,11,3,Tuesday
2020-11-03,EVS_000137,4,2020,11,3,Tuesday
2020-11-03,EVS_000215,1,2020,11,3,Tuesday
2020-11-03,EVS_000219,2,2020,11,3,Tuesday
2020-11-03,EVS_000110,2,2020,11,3,Tuesday
2020-11-03,EVS_000154,2,2020,11,3,Tuesday
2020-11-04,EVS_000255,3,2020,11,4,Wednesday
2020-11-04,EVS_000215,3,2020,11,4,Wednesday
2020-11-04,EVS_000113,8,2020,11,4,Wednesday
2020-11-04,EVS_000219,3,2020,11,4,Wednesday
2020-11-04,EVS_000190,2,2020,11,4,Wednesday
2020-11-04,EVS_000231,2,2020,11,4,Wednesday
2020-11-04,EVS_000167,2,2020,11,4,Wednesday
2020-11-04,EVS_000097,2,2020,11,4,Wednesday
2020-11-04,EVS_000135,1,2020,11,4,Wednesday
2020-11-04,EVS_000152,1,2020,11,4,Wednesday
2020-11-04,EVS_000196,2,2020,11,4,Wednesday
2020-11-04,EVS_000191,1,2020,11,4,Wednesday
2020-11-04,EVS_000213,2,2020,11,4,Wednesday
2020-11-04,EVS_000110,1,2020,11,4,Wednesday
2020-11-04,EVS_000130,2,2020,11,4,Wednesday
2020-11-04,EVS_000126,1,2020,11,4,Wednesday
2020-11-04,EVS_000132,2,2020,11,4,Wednesday
2020-11-04,EVS_000119,1,2020,11,4,Wednesday
2020-11-04,EVS_000118,1,2020,11,4,Wednesday
2020-11-04,EVS_000227,2,2020,11,4,Wednesday
2020-11-05,EVS_000113,1,2020,11,5,Tuesday
2020-11-05,EVS_000190,1,2020,11,5,Tuesday
2020-11-05,EVS_000213,1,2020,11,5,Tuesday
2020-11-05,EVS_000110,1,2020,11,5,Tuesday
2020-11-05,EVS_000135,2,2020,11,5,Tuesday
2020-11-05,EVS_000139,5,2020,11,5,Tuesday
2020-11-05,EVS_000092,1,2020,11,5,Tuesday
2020-11-05,EVS_000132,4,2020,11,5,Tuesday
2020-11-05,EVS_000188,2,2020,11,5,Tuesday
2020-11-05,EVS_000191,2,2020,11,5,Tuesday
2020-11-05,EVS_000102,3,2020,11,5,Tuesday
2020-11-05,EVS_000118,3,2020,11,5,Tuesday
2020-11-05,EVS_000115,2,2020,11,5,Tuesday
2020-11-05,EVS_000166,1,2020,11,5,Tuesday
2020-11-05,EVS_000264,2,2020,11,5,Tuesday
2020-11-05,EVS_000119,3,2020,11,5,Tuesday
2020-11-05,EVS_000097,8,2020,11,5,Tuesday
2020-11-05,EVS_000152,2,2020,11,5,Tuesday
2020-11-05,EVS_000127,1,2020,11,5,Tuesday
2020-11-05,EVS_000126,2,2020,11,5,Tuesday
2020-11-05,EVS_000276,2,2020,11,5,Tuesday
2020-11-05,EVS_000288,5,2020,11,5,Tuesday
2020-11-05,EVS_000130,1,2020,11,5,Tuesday
2020-11-05,EVS_000112,7,2020,11,5,Tuesday
2020-11-05,EVS_000219,6,2020,11,5,Tuesday
2020-11-05,EVS_000215,2,2020,11,5,Tuesday
2020-11-05,EVS_000255,1,2020,11,5,Tuesday
