rent_date,rent_station,count,year,month,day,day_name
2019-04-16,성산점,1,2019,4,16,Tuesday
2019-04-24,성산점,1,2019,4,24,Wednesday
2019-04-25,성산점,3,2019,4,25,Thursday
2019-04-27,용담해안도로점,1,2019,4,27,Saturday
2019-04-28,성산점,2,2019,4,28,Sunday
2019-04-30,성산점,3,2019,4,30,Tuesday
2019-05-01,애월점,2,2019,5,1,Wednesday
2019-05-04,용담해안도로점,2,2019,5,4,Saturday
2019-05-08,용담해안도로점,2,2019,5,8,Wednesday
2019-05-09,성산점,2,2019,5,9,Thursday
2019-05-10,애월점,2,2019,5,10,Friday
2019-05-11,용담해안도로점,4,2019,5,11,Saturday
2019-05-14,성산점,2,2019,5,14,Tuesday
2019-05-15,성산점,1,2019,5,15,Wednesday
2019-05-17,성산점,3,2019,5,17,Friday
2019-05-20,성산점,2,2019,5,20,Monday
2019-05-21,서귀포점,2,2019,5,21,Tuesday
2019-05-24,성산점,2,2019,5,24,Friday
2019-05-25,성산점,3,2019,5,25,Saturday
2019-05-28,월정점,1,2019,5,28,Tuesday
2019-05-29,성산점,2,2019,5,29,Wednesday
2019-05-30,용담해안도로점,1,2019,5,30,Thursday
2019-05-31,서귀포점,2,2019,5,31,Friday
2019-05-31,성산점,1,2019,5,31,Friday
2019-06-01,서귀포점,1,2019,6,1,Saturday
2019-06-01,성산점,2,2019,6,1,Saturday
2019-06-03,성산점,2,2019,6,3,Monday
2019-06-04,성산점,2,2019,6,4,Tuesday
2019-06-05,성산점,1,2019,6,5,Wednesday
2019-06-10,용담해안도로점,2,2019,6,10,Monday
2019-06-11,용담해안도로점,1,2019,6,11,Tuesday
2019-06-15,월정점,3,2019,6,15,Saturday
2019-06-20,용담해안도로점,1,2019,6,20,Thursday
2019-06-23,용담해안도로점,1,2019,6,23,Sunday
2019-06-23,월정점,2,2019,6,23,Sunday
2019-06-24,서귀포점,2,2019,6,24,Monday
2019-06-24,월정점,3,2019,6,24,Monday
