rent_date,rent_number,rent_station,year,month,day,day_name
2019-04-16,1,EVS_000003,2019,4,16,Tuesday
2019-04-20,2,EVS_000001,2019,4,20,Saturday
2019-04-21,2,EVS_000001,2019,4,21,Sunday
2019-04-24,2,EVS_000003,2019,4,24,Wednesday
2019-04-25,3,EVS_000003,2019,4,25,Thursday
2019-04-26,4,EVS_000001,2019,4,26,Friday
2019-04-26,3,EVS_000003,2019,4,26,Friday
2019-04-27,5,EVS_000001,2019,4,27,Saturday
2019-04-28,1,EVS_000001,2019,4,28,Sunday
2019-04-28,2,EVS_000003,2019,4,28,Sunday
2019-04-29,2,EVS_000003,2019,4,29,Monday
2019-04-30,5,EVS_000003,2019,4,30,Tuesday
2019-05-01,2,EVS_000002,2019,5,1,Wednesday
2019-05-02,2,EVS_000001,2019,5,2,Thursday
2019-05-02,2,EVS_000002,2019,5,2,Thursday
2019-05-03,2,EVS_000001,2019,5,3,Friday
2019-05-04,4,EVS_000001,2019,5,4,Saturday
2019-05-04,2,EVS_000004,2019,5,4,Saturday
2019-05-05,2,EVS_000001,2019,5,5,Sunday
2019-05-05,2,EVS_000004,2019,5,5,Sunday
2019-05-06,2,EVS_000001,2019,5,6,Monday
2019-05-07,6,EVS_000001,2019,5,7,Tuesday
2019-05-08,4,EVS_000001,2019,5,8,Wednesday
2019-05-09,2,EVS_000001,2019,5,9,Thursday
2019-05-09,2,EVS_000003,2019,5,9,Thursday
2019-05-10,1,EVS_000001,2019,5,10,Friday
2019-05-10,2,EVS_000002,2019,5,10,Friday
2019-05-11,6,EVS_000001,2019,5,11,Saturday
2019-05-12,5,EVS_000001,2019,5,12,Sunday
2019-05-14,6,EVS_000003,2019,5,14,Tuesday
2019-05-15,2,EVS_000003,2019,5,15,Wednesday
2019-05-16,1,EVS_000003,2019,5,16,Thursday
2019-05-17,6,EVS_000003,2019,5,17,Friday
2019-05-20,2,EVS_000003,2019,5,20,Monday
2019-05-21,2,EVS_000003,2019,5,21,Tuesday
2019-05-21,2,EVS_000004,2019,5,21,Tuesday
2019-05-22,2,EVS_000004,2019,5,22,Wednesday
2019-05-24,2,EVS_000003,2019,5,24,Friday
2019-05-25,2,EVS_000001,2019,5,25,Saturday
2019-05-25,3,EVS_000003,2019,5,25,Saturday
2019-05-26,2,EVS_000001,2019,5,26,Sunday
2019-05-28,1,EVS_000012,2019,5,28,Tuesday
2019-05-29,2,EVS_000001,2019,5,29,Wednesday
2019-05-29,2,EVS_000003,2019,5,29,Wednesday
2019-05-29,1,EVS_000012,2019,5,29,Wednesday
2019-05-30,3,EVS_000001,2019,5,30,Thursday
2019-05-30,2,EVS_000003,2019,5,30,Thursday
2019-05-31,3,EVS_000001,2019,5,31,Friday
2019-05-31,1,EVS_000003,2019,5,31,Friday
2019-05-31,2,EVS_000004,2019,5,31,Friday
2019-06-01,2,EVS_000001,2019,6,1,Saturday
2019-06-01,3,EVS_000003,2019,6,1,Saturday
2019-06-01,3,EVS_000004,2019,6,1,Saturday
2019-06-02,1,EVS_000001,2019,6,2,Sunday
2019-06-02,3,EVS_000004,2019,6,2,Sunday
2019-06-03,2,EVS_000001,2019,6,3,Monday
2019-06-03,2,EVS_000003,2019,6,3,Monday
2019-06-04,11,EVS_000001,2019,6,4,Tuesday
2019-06-04,2,EVS_000003,2019,6,4,Tuesday
2019-06-05,4,EVS_000001,2019,6,5,Wednesday
2019-06-05,2,EVS_000003,2019,6,5,Wednesday
2019-06-05,2,EVS_000012,2019,6,5,Wednesday
2019-06-06,2,EVS_000001,2019,6,6,Thursday
2019-06-06,2,EVS_000012,2019,6,6,Thursday
2019-06-07,4,EVS_000001,2019,6,7,Friday
2019-06-07,3,EVS_000002,2019,6,7,Friday
2019-06-07,1,EVS_000012,2019,6,7,Friday
2019-06-08,5,EVS_000001,2019,6,8,Saturday
2019-06-09,2,EVS_000001,2019,6,9,Sunday
2019-06-10,2,EVS_000001,2019,6,10,Monday
2019-06-11,4,EVS_000001,2019,6,11,Tuesday
2019-06-14,3,EVS_000001,2019,6,14,Friday
2019-06-14,3,EVS_000002,2019,6,14,Friday
2019-06-14,8,EVS_000003,2019,6,14,Friday
2019-06-15,3,EVS_000002,2019,6,15,Saturday
2019-06-19,2,EVS_000001,2019,6,19,Wednesday
2019-06-20,3,EVS_000001,2019,6,20,Thursday
2019-06-21,1,EVS_000001,2019,6,21,Friday
2019-06-21,1,EVS_000002,2019,6,21,Friday
2019-06-22,1,EVS_000002,2019,6,22,Saturday
2019-06-23,3,EVS_000001,2019,6,23,Sunday
2019-06-23,2,EVS_000008,2019,6,23,Sunday
2019-06-23,2,EVS_000012,2019,6,23,Sunday
2019-06-24,3,EVS_000001,2019,6,24,Monday
2019-06-24,4,EVS_000004,2019,6,24,Monday
2019-06-24,3,EVS_000008,2019,6,24,Monday
2019-06-25,4,EVS_000004,2019,6,25,Tuesday
2019-06-25,3,EVS_000008,2019,6,25,Tuesday
2019-06-26,1,EVS_000001,2019,6,26,Wednesday
2019-06-26,3,EVS_000008,2019,6,26,Wednesday
2019-06-27,2,EVS_000001,2019,6,27,Thursday
2019-06-27,3,EVS_000008,2019,6,27,Thursday
2019-06-28,1,EVS_000001,2019,6,28,Friday
2019-06-29,1,EVS_000001,2019,6,29,Saturday
2019-07-01,2,EVS_000012,2019,7,1,Monday
2019-07-02,25,EVS_000001,2019,7,2,Tuesday
2019-07-02,8,EVS_000002,2019,7,2,Tuesday
2019-07-02,4,EVS_000012,2019,7,2,Tuesday
2019-07-03,7,EVS_000002,2019,7,3,Wednesday
2019-07-03,3,EVS_000009,2019,7,3,Wednesday
2019-07-04,2,EVS_000001,2019,7,4,Thursday
2019-07-04,7,EVS_000002,2019,7,4,Thursday
2019-07-04,3,EVS_000003,2019,7,4,Thursday
2019-07-05,9,EVS_000001,2019,7,5,Friday
2019-07-06,13,EVS_000001,2019,7,6,Saturday
2019-07-06,2,EVS_000002,2019,7,6,Saturday
2019-07-07,5,EVS_000001,2019,7,7,Sunday
2019-07-07,2,EVS_000002,2019,7,7,Sunday
2019-07-07,5,EVS_000003,2019,7,7,Sunday
2019-07-07,6,EVS_000004,2019,7,7,Sunday
2019-07-08,1,EVS_000001,2019,7,8,Monday
2019-07-08,2,EVS_000004,2019,7,8,Monday
2019-07-11,2,EVS_000001,2019,7,11,Thursday
2019-07-12,2,EVS_000001,2019,7,12,Friday
2019-07-13,1,EVS_000001,2019,7,13,Saturday
2019-07-14,1,EVS_000001,2019,7,14,Sunday
2019-07-17,1,EVS_000002,2019,7,17,Wednesday
2019-07-21,2,EVS_000001,2019,7,21,Sunday
2019-07-21,2,EVS_000003,2019,7,21,Sunday
2019-07-22,7,EVS_000001,2019,7,22,Monday
2019-07-22,2,EVS_000003,2019,7,22,Monday
2019-07-22,2,EVS_000008,2019,7,22,Monday
2019-07-23,7,EVS_000001,2019,7,23,Tuesday
2019-07-23,2,EVS_000008,2019,7,23,Tuesday
2019-07-23,2,EVS_000012,2019,7,23,Tuesday
2019-07-24,3,EVS_000001,2019,7,24,Wednesday
2019-07-24,2,EVS_000009,2019,7,24,Wednesday
2019-07-24,2,EVS_000012,2019,7,24,Wednesday
2019-07-25,3,EVS_000001,2019,7,25,Thursday
2019-07-25,4,EVS_000008,2019,7,25,Thursday
2019-07-26,3,EVS_000001,2019,7,26,Friday
2019-07-26,3,EVS_000003,2019,7,26,Friday
2019-07-27,1,EVS_000003,2019,7,27,Saturday
2019-07-30,2,EVS_000001,2019,7,30,Tuesday
2019-07-30,3,EVS_000009,2019,7,30,Tuesday
2019-07-31,4,EVS_000001,2019,7,31,Wednesday
2019-08-01,4,EVS_000001,2019,8,1,Thursday
2019-08-03,4,EVS_000001,2019,8,3,Saturday
2019-08-04,5,EVS_000001,2019,8,4,Sunday
2019-08-04,4,EVS_000002,2019,8,4,Sunday
2019-08-04,2,EVS_000003,2019,8,4,Sunday
2019-08-04,2,EVS_000006,2019,8,4,Sunday
2019-08-05,3,EVS_000001,2019,8,5,Monday
2019-08-05,2,EVS_000002,2019,8,5,Monday
2019-08-05,6,EVS_000006,2019,8,5,Monday
2019-08-05,5,EVS_000009,2019,8,5,Monday
2019-08-05,2,EVS_000010,2019,8,5,Monday
2019-08-06,45,EVS_000001,2019,8,6,Tuesday
2019-08-06,4,EVS_000002,2019,8,6,Tuesday
2019-08-06,4,EVS_000006,2019,8,6,Tuesday
2019-08-06,2,EVS_000010,2019,8,6,Tuesday
2019-08-07,7,EVS_000001,2019,8,7,Wednesday
2019-08-07,1,EVS_000004,2019,8,7,Wednesday
2019-08-07,1,EVS_000008,2019,8,7,Wednesday
2019-08-07,2,EVS_000009,2019,8,7,Wednesday
2019-08-07,2,EVS_000010,2019,8,7,Wednesday
2019-08-08,2,EVS_000001,2019,8,8,Thursday
2019-08-08,1,EVS_000004,2019,8,8,Thursday
2019-08-08,1,EVS_000008,2019,8,8,Thursday
2019-08-09,6,EVS_000001,2019,8,9,Friday
2019-08-09,2,EVS_000003,2019,8,9,Friday
2019-08-09,1,EVS_000009,2019,8,9,Friday
2019-08-10,6,EVS_000001,2019,8,10,Saturday
2019-08-10,2,EVS_000003,2019,8,10,Saturday
2019-08-10,3,EVS_000009,2019,8,10,Saturday
2019-08-11,1,EVS_000001,2019,8,11,Sunday
